,Suburb,Nearest Train Station,Distance(km),Latitude,Longitude,Cluster_Labels_Dist_0,Cluster_Labels_Dist_1,Cluster_Labels_Dist_2,Cluster_Labels_Dist_3,Cluster_Labels_Dist_4
156,Concord,North Strathfield Railway Station,1.7155847905448245,-33.8556716,151.10676669999998,1,0,0,0,0
157,Concord West,Concord West Railway Station,0.0,-33.843168,151.0920563,1,0,0,0,0
158,Condell Park,Bankstown Railway Station,2.147346544751561,-33.9227852,151.0113144,0,0,0,1,0
159,Connells Point,Oatley Railway Station,1.8590786926941592,-33.9869476,151.09427250000002,1,0,0,0,0
160,Constitution Hill,Pendle Hill Railway Station,1.2808448626667093,-33.795208200000005,150.9727813,1,0,0,0,0
161,Coogee,Bondi Junction Railway Station,3.23365311659473,-33.9217004,151.2557975,0,0,0,1,0
162,Cornwallis,Windsor Railway Station,2.0798708353972843,-33.59,150.80944440000002,0,0,0,1,0
163,Cottage Point,Berowra Railway Station,5.235355411225089,-33.619516100000006,151.203318,0,0,0,1,0
164,Cowan,Berowra Railway Station,4.669750971443568,-33.588829700000005,151.16985680000002,0,0,0,1,0
165,Cranebrook,Penrith Railway Station,5.262743668344792,-33.7048583,150.70641,0,0,0,1,0
166,Cremorne,North Sydney Railway Station,1.8991384159250755,-33.8260081,151.22543259999998,1,0,0,0,0
167,Cremorne Point,Milsons Point Railway Station,1.6672237563140913,-33.840954700000005,151.2279762,1,0,0,0,0
168,Cromer,Roseville Railway Station,9.94482077180867,-33.738522700000004,151.27629950000002,0,0,1,0,0
169,Cronulla,Cronulla Railway Station,0.0,-34.057525899999995,151.1523851,1,0,0,0,0
170,Crows Nest,St Leonards Railway Station,1.09309042408821,-33.825564899999996,151.2036095,1,0,0,0,0
171,Croydon,Croydon Railway Station,0.0,-33.8777935,151.11565019999998,1,0,0,0,0
172,Croydon Park,Campsie Railway Station,1.875779190953383,-33.8975316,151.1024641,1,0,0,0,0
173,Curl Curl,Roseville Railway Station,10.00016588739833,-33.769834100000004,151.2898175,0,0,1,0,0
174,Currans Hill,Macarthur Railway Station,3.7197969526449013,-34.0463519,150.77124560000001,0,0,0,1,0
175,Currawong Beach,Berowra Railway Station,14.438198125106933,-33.595226700000005,151.2987319,0,1,0,0,0
176,Daceyville,Mascot Railway Station,2.7683854092519042,-33.9289328,151.22518390000002,0,0,0,1,0
177,Dangar Island,Berowra Railway Station,12.959063531008791,-33.538707699999996,151.239494,0,1,0,0,0
178,Darling Point,Edgecliff Railway Station,0.757874644088979,-33.8730723,151.23763780000002,1,0,0,0,0
179,Darlinghurst,Kings Cross Railway Station,0.5097899231116676,-33.8783381,151.219225,1,0,0,0,0
180,Darlington,Macdonaldtown Railway Station,0.9531311137846845,-33.890862,151.1932156,1,0,0,0,0
181,Davidson,Gordon Railway Station,4.284776979662387,-33.7398592,151.19422219999998,0,0,0,1,0
182,Dawes Point,Circular Quay Railway Station,0.5867015261378453,-33.8572223,151.20677560000001,1,0,0,0,0
183,Dean Park,Quakers Hill Railway Station,2.439755984071978,-33.7328296,150.852577,0,0,0,1,0
184,Dee Why,Roseville Railway Station,10.426112039458209,-33.7536635,151.2899954,0,0,1,0,0
185,Denham Court,Ingleburn Railway Station,2.7459589543628566,-33.9813889,150.8294444,0,0,0,1,0
186,Denistone,Denistone Railway Station,0.0,-33.7989066,151.0887,1,0,0,0,0
187,Denistone East,Denistone Railway Station,0.9327838827494989,-33.7962842,151.09828869999998,1,0,0,0,0
188,Denistone West,Denistone Railway Station,1.1183617831839328,-33.8005739,151.07676419999999,1,0,0,0,0
189,Dharruk,Mount Druitt Railway Station,2.5593481688372104,-33.7480556,150.81472219999998,0,0,0,1,0
190,Dolans Bay,Cronulla Railway Station,2.3544971347732524,-34.0644424,151.12822769999997,0,0,0,1,0
191,Dolls Point,Carlton Railway Station,3.3824105173652748,-33.9936111,151.1447222,0,0,0,1,0
192,Doonside,Doonside Railway Station,0.0,-33.7549501,150.86859850000002,1,0,0,0,0
193,Double Bay,Edgecliff Railway Station,0.6809329418237339,-33.8766373,151.24245,1,0,0,0,0
194,Dover Heights,Bondi Junction Railway Station,3.5519866746024498,-33.873983100000004,151.2810366,0,0,0,1,0
195,Drummoyne,Waverton Railway Station,4.427610582180734,-33.85206779999999,151.15368899999999,0,0,0,1,0
196,Duffys Forest,Mount Kuring-gai Railway Station,5.642228210674961,-33.6733265,151.1927796,0,0,1,0,0
197,Dulwich Hill,Dulwich Hill Railway Station,0.0,-33.904584899999996,151.1386091,1,0,0,0,0
198,Dundas,Harris Park Railway Station,3.68590917682962,-33.802949,151.0440587,0,0,0,1,0
199,Dundas Valley,Eastwood Railway Station,2.4666859380035753,-33.7936744,151.05590690000002,0,0,0,1,0
200,Dural,Thornleigh Railway Station,6.418705495960451,-33.6876398,151.0267199,0,0,1,0,0
201,Eagle Vale,Campbelltown Railway Station,3.011585537929756,-34.0377778,150.8111111,0,0,0,1,0
202,Earlwood,Turrella Railway Station,1.0744680017053934,-33.9247222,151.1313889,1,0,0,0,0
203,East Gordon,Gordon Railway Station,0.0,-33.7553899,151.15180990000002,1,0,0,0,0
204,East Hills,East Hills Railway Station,0.0,-33.960853,150.9879189,1,0,0,0,0
205,East Killara,Killara Railway Station,2.2768036830344,-33.7554823,151.1811998,0,0,0,1,0
206,East Kurrajong,East Richmond Railway Station,9.414762030659777,-33.515,150.7677778,0,0,1,0,0
207,East Lindfield,Roseville Railway Station,1.6970993497880624,-33.7681132,151.1883362,1,0,0,0,0
208,East Ryde,Lindfield Railway Station,3.9616342592925853,-33.809701700000005,151.1353884,0,0,0,1,0
209,Eastern Creek,Riverstone Railway Station,0.9273786354270663,-33.6750568,150.8533885,1,0,0,0,0
210,Eastgardens,Mascot Railway Station,3.272011689165254,-33.9447657,151.22509209999998,0,0,0,1,0
211,Eastlakes,Mascot Railway Station,1.5120022889558724,-33.931073299999994,151.21136669999999,1,0,0,0,0
212,Eastwood,Eastwood Railway Station,0.20269802394234163,-33.79,151.08444440000002,1,0,0,0,0
213,Ebenezer,Windsor Railway Station,11.599670862784913,-33.5166293,150.88744340000002,0,1,0,0,0
214,Edensor Park,Cabramatta Railway Station,5.73333718260912,-33.8802849,150.8762602,0,0,1,0,0
215,Edgecliff,Edgecliff Railway Station,0.0,-33.879769200000005,151.2361116,1,0,0,0,0
216,Edmondson Park,Edmondson Park Railway Station,0.0,-33.9628336,150.8563294,1,0,0,0,0
217,Elanora Heights,Roseville Railway Station,12.587562242074704,-33.699461299999996,151.2750587,0,1,0,0,0
218,Elderslie,Macarthur Railway Station,7.6702309055340745,-34.0590289,150.715403,0,0,1,0,0
219,Elizabeth Bay,Kings Cross Railway Station,0.630728543979564,-33.871690799999996,151.2282875,1,0,0,0,0
220,Elizabeth Hills,Edmondson Park Railway Station,6.995972294507146,-33.900228799999994,150.8487942,0,0,1,0,0
